Attribute names:	P0	P1	P2
Minor allele frequencies:	0.050	0.050	0.050
x: 2.26753810347960e-9
y: 26.5893139396092
Prevalence: 3.62320169522557e-7
Heritability: 0.0500000000000000

Table:

2.26753810347960E-9, 6.25598206069246E-8, 0.00000172598253073007
6.25598206069246E-8, 0.00000172598253073007, 0.0000476186738945931
0.00000172598253073007, 0.0000476186738945931, 0.00131376654346580

6.25598206069246E-8, 0.00000172598253073007, 0.0000476186738945931
0.00000172598253073007, 0.0000476186738945931, 0.00131376654346580
0.0000476186738945931, 0.00131376654346580, 0.0362459176110331

0.00000172598253073007, 0.0000476186738945931, 0.00131376654346580
0.0000476186738945931, 0.00131376654346580, 0.0362459176110331
0.00131376654346580, 0.0362459176110331, 1.00000000000000
 
