Attribute names:	P0	P1	P2
Minor allele frequencies:	0.100	0.100	0.100
x: 3.36234876656139e-7
y: 10.9920346144131
Prevalence: 2.87719940910647e-5
Heritability: 0.0500000000000000

Table:

3.36234876656139E-7, 0.00000403214027943333, 0.0000483535658011337
0.00000403214027943333, 0.0000483535658011337, 0.000579857634817495
0.0000483535658011337, 0.000579857634817495, 0.00695367282816309

0.00000403214027943333, 0.0000483535658011337, 0.000579857634817495
0.0000483535658011337, 0.000579857634817495, 0.00695367282816309
0.000579857634817495, 0.00695367282816309, 0.0833886852526354

0.0000483535658011337, 0.000579857634817495, 0.00695367282816309
0.000579857634817495, 0.00695367282816309, 0.0833886852526354
0.00695367282816309, 0.0833886852526354, 1.00000000000000
 
