Attribute names:	P0	P1	P2
Minor allele frequencies:	0.050	0.050	0.050
x: 2.05552963803623e-11
y: 59.4198129101392
Prevalence: 8.05966381885320e-8
Heritability: 0.200000000000000

Table:

2.05552963803623E-11, 1.24194716161395E-9, 7.50382151489933E-8
1.24194716161395E-9, 7.50382151489933E-8, 0.00000453379492041295
7.50382151489933E-8, 0.00000453379492041295, 0.000273931040864290

1.24194716161395E-9, 7.50382151489933E-8, 0.00000453379492041295
7.50382151489933E-8, 0.00000453379492041295, 0.000273931040864290
0.00000453379492041295, 0.000273931040864290, 0.0165508622393001

7.50382151489933E-8, 0.00000453379492041295, 0.000273931040864290
0.00000453379492041295, 0.000273931040864290, 0.0165508622393001
0.000273931040864290, 0.0165508622393001, 1.00000000000000
 
