Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.100	0.100	0.100	0.100
x: 1.68309596654059e-8
y: 8.36993094247521
Prevalence: 2.18257445888041e-6
Heritability: 0.0100000000000000

Table:

1.68309596654059E-8, 1.57704929760439E-7, 0.00000147768430114322
1.57704929760439E-7, 0.00000147768430114322, 0.0000138457998564917
0.00000147768430114322, 0.0000138457998564917, 0.000129734188498660

1.57704929760439E-7, 0.00000147768430114322, 0.0000138457998564917
0.00000147768430114322, 0.0000138457998564917, 0.000129734188498660
0.0000138457998564917, 0.000129734188498660, 0.00121560038711051

0.00000147768430114322, 0.0000138457998564917, 0.000129734188498660
0.0000138457998564917, 0.000129734188498660, 0.00121560038711051
0.000129734188498660, 0.00121560038711051, 0.0113900916808716

1.57704929760439E-7, 0.00000147768430114322, 0.0000138457998564917
0.00000147768430114322, 0.0000138457998564917, 0.000129734188498660
0.0000138457998564917, 0.000129734188498660, 0.00121560038711051

0.00000147768430114322, 0.0000138457998564917, 0.000129734188498660
0.0000138457998564917, 0.000129734188498660, 0.00121560038711051
0.000129734188498660, 0.00121560038711051, 0.0113900916808716

0.0000138457998564917, 0.000129734188498660, 0.00121560038711051
0.000129734188498660, 0.00121560038711051, 0.0113900916808716
0.00121560038711051, 0.0113900916808716, 0.106724372478228

0.00000147768430114322, 0.0000138457998564917, 0.000129734188498660
0.0000138457998564917, 0.000129734188498660, 0.00121560038711051
0.000129734188498660, 0.00121560038711051, 0.0113900916808716

0.0000138457998564917, 0.000129734188498660, 0.00121560038711051
0.000129734188498660, 0.00121560038711051, 0.0113900916808716
0.00121560038711051, 0.0113900916808716, 0.106724372478228

0.000129734188498660, 0.00121560038711051, 0.0113900916808716
0.00121560038711051, 0.0113900916808716, 0.106724372478228
0.0113900916808716, 0.106724372478228, 1.00000000000000
 
