Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.200	0.200	0.200	0.200
x: 1.78263131815100e-7
y: 5.97617406796911
Prevalence: 9.61411657037851e-5
Heritability: 0.0500000000000000

Table:

1.78263131815100E-7, 0.00000124359463744346, 0.00000867553266079853
0.00000124359463744346, 0.00000867553266079853, 0.0000605220259740818
0.00000867553266079853, 0.0000605220259740818, 0.000422212188141342

0.00000124359463744346, 0.00000867553266079853, 0.0000605220259740818
0.00000867553266079853, 0.0000605220259740818, 0.000422212188141342
0.0000605220259740818, 0.000422212188141342, 0.00294542571809213

0.00000867553266079853, 0.0000605220259740818, 0.000422212188141342
0.0000605220259740818, 0.000422212188141342, 0.00294542571809213
0.000422212188141342, 0.00294542571809213, 0.0205478025136836

0.00000124359463744346, 0.00000867553266079853, 0.0000605220259740818
0.00000867553266079853, 0.0000605220259740818, 0.000422212188141342
0.0000605220259740818, 0.000422212188141342, 0.00294542571809213

0.00000867553266079853, 0.0000605220259740818, 0.000422212188141342
0.0000605220259740818, 0.000422212188141342, 0.00294542571809213
0.000422212188141342, 0.00294542571809213, 0.0205478025136836

0.0000605220259740818, 0.000422212188141342, 0.00294542571809213
0.000422212188141342, 0.00294542571809213, 0.0205478025136836
0.00294542571809213, 0.0205478025136836, 0.143345047049710

0.00000867553266079853, 0.0000605220259740818, 0.000422212188141342
0.0000605220259740818, 0.000422212188141342, 0.00294542571809213
0.000422212188141342, 0.00294542571809213, 0.0205478025136836

0.0000605220259740818, 0.000422212188141342, 0.00294542571809213
0.000422212188141342, 0.00294542571809213, 0.0205478025136836
0.00294542571809213, 0.0205478025136836, 0.143345047049710

0.000422212188141342, 0.00294542571809213, 0.0205478025136836
0.00294542571809213, 0.0205478025136836, 0.143345047049710
0.0205478025136836, 0.143345047049710, 1.00000000000000
 
