Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.500	0.500	0.500	0.500
x: 1.59588293382310e-7
y: 6.07334548905633
Prevalence: 0.0112509545180495
Heritability: 0.400000000000000

Table:

1.59588293382310E-7, 0.00000112882313510196, 0.00000798455603061587
0.00000112882313510196, 0.00000798455603061587, 0.0000564775233812743
0.00000798455603061587, 0.0000564775233812743, 0.000399485035242010

0.00000112882313510196, 0.00000798455603061587, 0.0000564775233812743
0.00000798455603061587, 0.0000564775233812743, 0.000399485035242010
0.0000564775233812743, 0.000399485035242010, 0.00282569567197458

0.00000798455603061587, 0.0000564775233812743, 0.000399485035242010
0.0000564775233812743, 0.000399485035242010, 0.00282569567197458
0.000399485035242010, 0.00282569567197458, 0.0199871217348074

0.00000112882313510196, 0.00000798455603061587, 0.0000564775233812743
0.00000798455603061587, 0.0000564775233812743, 0.000399485035242010
0.0000564775233812743, 0.000399485035242010, 0.00282569567197458

0.00000798455603061587, 0.0000564775233812743, 0.000399485035242010
0.0000564775233812743, 0.000399485035242010, 0.00282569567197458
0.000399485035242010, 0.00282569567197458, 0.0199871217348074

0.0000564775233812743, 0.000399485035242010, 0.00282569567197458
0.000399485035242010, 0.00282569567197458, 0.0199871217348074
0.00282569567197458, 0.0199871217348074, 0.141375817362120

0.00000798455603061587, 0.0000564775233812743, 0.000399485035242010
0.0000564775233812743, 0.000399485035242010, 0.00282569567197458
0.000399485035242010, 0.00282569567197458, 0.0199871217348074

0.0000564775233812743, 0.000399485035242010, 0.00282569567197458
0.000399485035242010, 0.00282569567197458, 0.0199871217348074
0.00282569567197458, 0.0199871217348074, 0.141375817362120

0.000399485035242010, 0.00282569567197458, 0.0199871217348074
0.00282569567197458, 0.0199871217348074, 0.141375817362120
0.0199871217348074, 0.141375817362120, 1.00000000000000
 
